,title,year,rating,director_and_writers
61,Expresso do Amanhã,2013,7.1,"Bong Joon Ho (dir.), Chris Evans, Jamie Bell"
62,Os Goonies,1985,7.8,"Richard Donner (dir.), Sean Astin, Josh Brolin"
63,Gladiador,2000,8.5,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
64,Thor: Ragnarok,2017,7.9,"Taika Waititi (dir.), Chris Hemsworth, Tom Hiddleston"
65,Capitão América: O Primeiro Vingador,2011,6.9,"Joe Johnston (dir.), Chris Evans, Hugo Weaving"
66,Sacanas Sem Lei,2009,8.3,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
67,O Irlandês,2019,7.9,"Martin Scorsese (dir.), Robert De Niro, Al Pacino"
68,Pulp Fiction,1994,8.9,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
69,O Lobo de Wall Street,2013,8.2,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
70,Roped,2020,5.5,"Shaun Paul Piccinino (dir.), Josh Swickard, Casper Van Dien"
71,Rogue One: Uma História de Star Wars,2016,7.8,"Gareth Edwards (dir.), Felicity Jones, Diego Luna"
72,Chama-me Pelo Teu Nome,2017,7.9,"Luca Guadagnino (dir.), Armie Hammer, Timothée Chalamet"
73,Gretel & Hansel,2020,5.3,"Oz Perkins (dir.), Sophia Lillis, Samuel Leakey"
74,Star Wars: Episódio II - O Ataque dos Clones,2002,6.5,"George Lucas (dir.), Hayden Christensen, Natalie Portman"
75,A Caçada,2020,6.4,"Craig Zobel (dir.), Betty Gilpin, Hilary Swank"
76,O Senhor dos Anéis - A Irmandade do Anel,2001,8.8,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
77,After Depois da Verdade (2020),"

35",,"Roger Kumble (dir.), Dylan Sprouse, Selma Blair"
78,Star Wars: Episódio VII - O Despertar da Força,2015,7.9,"J.J. Abrams (dir.), Daisy Ridley, John Boyega"
79,Vingadores: Guerra do Infinito,2018,8.5,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
80,6 Underground,2019,6.1,"Michael Bay (dir.), Ryan Reynolds, Mélanie Laurent"
81,007: Sem Tempo Para Morrer,2020,,"Cary Joji Fukunaga (dir.), Ana de Armas, Daniel Craig"
82,As Aventuras do Dr. Dolittle,2020,5.6,"Stephen Gaghan (dir.), Robert Downey Jr., Antonio Banderas"
83,Guernsey - A Sociedade Literária da Tarte de Casca de Batata,2018,7.4,"Mike Newell (dir.), Jessica Brown Findlay, Tom Courtenay"
84,Mulher-Maravilha 1984,2020,,"Patty Jenkins (dir.), Pedro Pascal, Connie Nielsen"
85,It Capítulo 2,2019,6.6,"Andy Muschietti (dir.), Jessica Chastain, James McAvoy"
86,Han Solo: Uma História de Star Wars,2018,6.9,"Ron Howard (dir.), Alden Ehrenreich, Woody Harrelson"
87,Deadpool 2,2018,7.7,"David Leitch (dir.), Ryan Reynolds, Josh Brolin"
88,O Rei Leão,2019,6.9,"Jon Favreau (dir.), Donald Glover, Beyoncé"
89,Viúva Negra,2020,,"Cate Shortland (dir.), Florence Pugh, Scarlett Johansson"
90,Seven - 7 Pecados Mortais,1995,8.6,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
91,Bombshell - O Escândalo,2019,6.8,"Jay Roach (dir.), Charlize Theron, Nicole Kidman"
92,O Resgate do Soldado Ryan,1998,8.6,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
93,Matrix,1999,8.7,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
94,Top Gun: Maverick,2020,,"Joseph Kosinski (dir.), Jake Picking, Tom Cruise"
95,Retrato da Rapariga em Chamas,2019,8.2,"Céline Sciamma (dir.), Noémie Merlant, Adèle Haenel"
96,Inheritance,2020,,"Vaughn Stein (dir.), Lily Collins, Simon Pegg"
97,Star Wars: Episódio III - A Vingança dos Sith,2005,7.5,"George Lucas (dir.), Hayden Christensen, Natalie Portman"
98,Crepúsculo,2008,5.2,"Catherine Hardwicke (dir.), Kristen Stewart, Robert Pattinson"
99,O Império Contra-Ataca,1980,8.7,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
